Dataset,Run_ID,Variant,Model,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,rmse_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,Coverage@10_mean,CatalogItems_mean,UniqueRecItems@10_mean,ItemCV@10_mean,UserCoverage@10_mean,FixedEval_mean,FixedEvalUsers_mean,FixedEvalCandidates_mean,EEL@10_mean,RecGini_mean,RecEntropy_mean,1-Gini@10_mean,ARP@10_mean,APLT@10_mean,LTShare@10_mean,EPC@10_mean,EFD@10_mean,EPC_rel@10_mean,EFD_rel@10_mean,ILS_mean,Diversity_mean
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed43,MultiVAE,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.00782006920415225,0.0782006920415225,0.0341658681068077,0.0211299683272002,0.0513587634006482,1337,68.6666666666667,8.32249611482029,0.0782006920415225,1,1445,1442442,0.0328153910881013,0.986902178179465,4.4164205234778,0.0130978218205349,516.774948096886,0,0,0.866434921273673,8.96187745242873,0.00640790178175665,0.0660977718190387,0.246045537391535,0.753954462608465
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed43,NeuMF,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0139100346020761,0.139100346020761,0.0712008344396848,0.0508508632211054,0.898529045125904,1337,1201.33333333333,1.26185764351626,0.139100346020761,1,1445,1442442,0.00777376745701035,0.580267654952291,9.5207561395087,0.419732345047709,260.369042675894,0.00103325408286962,0.00763552479815456,0.935294101533202,10.1963611755117,0.0140833848656263,0.149683512124903,0.201588175572857,0.798411824427143
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed44,BPR,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0173241061130334,0.173241061130334,0.107889184936504,0.0878158583694916,0.301670406382448,1337,403.333333333333,4.24505241014078,0.173241061130334,1,1445,1442442,0.0174598430545449,0.933343927037929,6.84529438310432,0.0666560729620705,465.860092272203,2.26456833009675e-05,0.000253748558246828,0.879171060479136,9.16272574990244,0.0203754026819093,0.212260095764456,0.256965242058618,0.743034757941382
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed44,ItemKNN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0191003460207612,0.191003460207612,0.109157433021992,0.0840256494754765,0.714285714285714,1337,955,1.7820366362959,0.191003460207612,1,1445,1442442,0.00952594486423537,0.725147298217034,8.92082172448902,0.274852701782966,259.25107266436,0.0012217638404062,0.00865051903114187,0.93499946349524,10.1442402012151,0.0219706622643334,0.235012836489418,0.238006989768945,0.761993010231055
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed44,LightGCN,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0185697808535179,0.185697808535179,0.114197454610549,0.0922845608831768,0.138868112690102,1337,185.666666666667,5.27823434892811,0.185697808535179,1,1445,1442442,0.0250927565625317,0.964574858585168,5.98164024090283,0.0354251414148319,511.582745098039,6.41093448986592e-06,9.22722029988466e-05,0.866764583089834,8.98407157058229,0.0213867283405291,0.222266179765559,0.266560436361632,0.733439563638368
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed44,MultiVAE,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.00782006920415225,0.0782006920415225,0.0341658681068077,0.0211299683272002,0.0513587634006482,1337,68.6666666666667,8.32249611482029,0.0782006920415225,1,1445,1442442,0.0328153910881013,0.986902178179465,4.4164205234778,0.0130978218205349,516.774948096886,0,0,0.866434921273673,8.96187745242873,0.00640790178175665,0.0660977718190387,0.246045537391535,0.753954462608465
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p100_seed44,NeuMF,4078,3149,265075,0.0206418628425599,0.97935813715744,65.0012260912212,84.1775166719594,,0.0139100346020761,0.139100346020761,0.0712008344396848,0.0508508632211054,0.898529045125904,1337,1201.33333333333,1.26185764351626,0.139100346020761,1,1445,1442442,0.00777376745701035,0.580267654952291,9.5207561395087,0.419732345047709,260.369042675894,0.00103325408286962,0.00763552479815456,0.935294101533202,10.1963611755117,0.0140833848656263,0.149683512124903,0.201588175572857,0.798411824427143
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p10_seed42,BPR,3693,2853,169449,0.0160826618580695,0.98391733814193,45.8838342810723,59.3932702418507,,0.0136101499423299,0.136101499423299,0.0679617574414108,0.047158144303473,0.106955871353777,1337,143,6.5025616335045,0.136101499423299,1,1445,1442442,0.0279005962603499,0.976358853981909,5.36051184091003,0.023641146018091,394.220507497117,0,0,0.88845128170829,8.69936674206756,0.0133499515892078,0.130620690986582,0.336152675234365,0.663847324765635
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p10_seed42,ItemKNN,3693,2853,169449,0.0160826618580695,0.98391733814193,45.8838342810723,59.3932702418507,,0.0195847750865052,0.195847750865052,0.10922778127108,0.0828414895369913,0.720269259536275,1337,963,1.76140008432512,0.195847750865052,1,1445,1442442,0.00947014735942072,0.721041840820032,8.9423669166622,0.278958159179968,203.030034602076,0.00713577101887728,0.0719031141868512,0.943748464168745,9.8274956254511,0.0223989601906821,0.229285896260108,0.271085504081943,0.728914495918057
Online Retail,online_retail_addback_k50_from_k5_common_test_20260511_214226,kcore50_addback_from_kcore5_p10_seed42,LightGCN,3693,2853,169449,0.0160826618580695,0.98391733814193,45.8838342810723,59.3932702418507,,0.013840830449827,0.13840830449827,0.0515249862296849,0.0264102634517859,0.0610820244328098,1337,81.6666666666667,8.0256081846554,0.13840830449827,1,1445,1442442,0.0318077857708699,0.98581275195625,4.548951187089,0.0141872480437497,417.435294117647,0,0,0.881813465061363,8.60211752229394,0.0100996786189127,0.0986920022751758,0.341917308950711,0.658082691049289
